item1,1,2023-10-20
item2,10,2023-10-21
item3,20,2023-10-22
item4,20,2023-10-23
item5,20,2023-10-24
item6,20,2023-10-25
item7,20,2023-10-26
item8,20,2023-10-27
item9,20,2023-10-28
item10,20,2023-10-29
item11,20,2023-10-30
item12,20,2023-10-31
item13,20,2023-11-01
item14,20,2023-11-02
item15,20,2023-11-03
item16,20,2023-11-04
item17,50,2023-11-05
item18,50,2023-11-06
item19,50,2023-11-07
item20,50,2023-11-08
item21,50,2023-11-09
item22,50,2023-11-10
item23,50,2023-11-11
item24,50,2023-11-12
item25,50,2023-11-13
item26,50,2023-11-14
item27,50,2023-11-15
item28,50,2023-11-16
item29,50,2023-11-17
item30,50,2023-11-18
item31,50,2023-11-19
item32,50,2023-11-20
item33,50,2023-11-21
item34,50,2023-11-22
item35,1,2023-11-23
item36,1,2023-11-24
item37,1,2023-11-25
item38,1,2023-11-26
item39,1,2023-11-27
item40,1,2023-11-28
item41,1,2023-11-29
item42,1,2023-11-30
item43,1,2023-12-01
item44,1,2023-12-02
item45,1,2023-12-03
item46,1,2023-12-04
item47,1,2023-12-05
item48,1,2023-12-06
item49,1,2023-12-07
item50,1,2023-12-08
